"_time",host,totalCPUTime
"2019-04-02T04:30:00.000+0000","eu16-app2-29-fra.ops.sfdc.net",1387263
"2019-04-02T04:30:00.000+0000","eu16-app2-3-fra.ops.sfdc.net",1713624
"2019-04-02T04:30:00.000+0000","eu16-app2-30-fra.ops.sfdc.net",2682222
"2019-04-02T04:30:00.000+0000","eu16-app2-4-fra.ops.sfdc.net",1730722
"2019-04-02T04:30:00.000+0000","eu16-app2-5-fra.ops.sfdc.net",1018082
"2019-04-02T04:30:00.000+0000","eu16-app2-6-fra.ops.sfdc.net",1405181
"2019-04-02T04:30:00.000+0000","eu16-app2-7-fra.ops.sfdc.net",2284575
"2019-04-02T04:30:00.000+0000","eu16-app2-9-fra.ops.sfdc.net",2066266
"2019-04-02T04:40:00.000+0000","eu16-app1-1-fra.ops.sfdc.net",2403447
"2019-04-02T04:40:00.000+0000","eu16-app1-10-fra.ops.sfdc.net",2342299
"2019-04-02T04:40:00.000+0000","eu16-app1-11-fra.ops.sfdc.net",1822191
"2019-04-02T04:40:00.000+0000","eu16-app1-12-fra.ops.sfdc.net",2917282
"2019-04-02T04:40:00.000+0000","eu16-app1-13-fra.ops.sfdc.net",2528000
"2019-04-02T04:40:00.000+0000","eu16-app1-14-fra.ops.sfdc.net",2036421
"2019-04-02T04:40:00.000+0000","eu16-app1-15-fra.ops.sfdc.net",1800647
"2019-04-02T04:40:00.000+0000","eu16-app1-16-fra.ops.sfdc.net",2250940
"2019-04-02T04:40:00.000+0000","eu16-app1-17-fra.ops.sfdc.net",2162227
"2019-04-02T04:40:00.000+0000","eu16-app1-18-fra.ops.sfdc.net",2110319
"2019-04-02T04:40:00.000+0000","eu16-app1-19-fra.ops.sfdc.net",2745690
"2019-04-02T04:40:00.000+0000","eu16-app1-2-fra.ops.sfdc.net",1547861
"2019-04-02T04:40:00.000+0000","eu16-app1-20-fra.ops.sfdc.net",2241529
"2019-04-02T04:40:00.000+0000","eu16-app1-21-fra.ops.sfdc.net",2997905
"2019-04-02T04:40:00.000+0000","eu16-app1-22-fra.ops.sfdc.net",143
"2019-04-02T04:40:00.000+0000","eu16-app1-23-fra.ops.sfdc.net",7035
"2019-04-02T04:40:00.000+0000","eu16-app1-24-fra.ops.sfdc.net",8499
"2019-04-02T04:40:00.000+0000","eu16-app1-25-fra.ops.sfdc.net",3695001
"2019-04-02T04:40:00.000+0000","eu16-app1-26-fra.ops.sfdc.net",2579036
"2019-04-02T04:40:00.000+0000","eu16-app1-27-fra.ops.sfdc.net",2584182
"2019-04-02T04:40:00.000+0000","eu16-app1-28-fra.ops.sfdc.net",2579878
"2019-04-02T04:40:00.000+0000","eu16-app1-29-fra.ops.sfdc.net",2230273
"2019-04-02T04:40:00.000+0000","eu16-app1-3-fra.ops.sfdc.net",1805730
"2019-04-02T04:40:00.000+0000","eu16-app1-30-fra.ops.sfdc.net",288
"2019-04-02T04:40:00.000+0000","eu16-app1-4-fra.ops.sfdc.net",3646948
"2019-04-02T04:40:00.000+0000","eu16-app1-5-fra.ops.sfdc.net",1820496
"2019-04-02T04:40:00.000+0000","eu16-app1-6-fra.ops.sfdc.net",3121648
"2019-04-02T04:40:00.000+0000","eu16-app1-7-fra.ops.sfdc.net",3035707
"2019-04-02T04:40:00.000+0000","eu16-app1-8-fra.ops.sfdc.net",1698174
"2019-04-02T04:40:00.000+0000","eu16-app1-9-fra.ops.sfdc.net",2295415
"2019-04-02T04:40:00.000+0000","eu16-app2-1-fra.ops.sfdc.net",3161809
"2019-04-02T04:40:00.000+0000","eu16-app2-10-fra.ops.sfdc.net",585151
"2019-04-02T04:40:00.000+0000","eu16-app2-11-fra.ops.sfdc.net",3128328
"2019-04-02T04:40:00.000+0000","eu16-app2-12-fra.ops.sfdc.net",2306626
"2019-04-02T04:40:00.000+0000","eu16-app2-13-fra.ops.sfdc.net",2996678
"2019-04-02T04:40:00.000+0000","eu16-app2-14-fra.ops.sfdc.net",2205780
"2019-04-02T04:40:00.000+0000","eu16-app2-15-fra.ops.sfdc.net",2414751
"2019-04-02T04:40:00.000+0000","eu16-app2-16-fra.ops.sfdc.net",2526202
"2019-04-02T04:40:00.000+0000","eu16-app2-17-fra.ops.sfdc.net",1976848
"2019-04-02T04:40:00.000+0000","eu16-app2-18-fra.ops.sfdc.net",3075483
"2019-04-02T04:40:00.000+0000","eu16-app2-19-fra.ops.sfdc.net",2700231
"2019-04-02T04:40:00.000+0000","eu16-app2-2-fra.ops.sfdc.net",2736569
"2019-04-02T04:40:00.000+0000","eu16-app2-20-fra.ops.sfdc.net",2245785
"2019-04-02T04:40:00.000+0000","eu16-app2-21-fra.ops.sfdc.net",2708814
"2019-04-02T04:40:00.000+0000","eu16-app2-22-fra.ops.sfdc.net",1887192
"2019-04-02T04:40:00.000+0000","eu16-app2-23-fra.ops.sfdc.net",1996980
"2019-04-02T04:40:00.000+0000","eu16-app2-24-fra.ops.sfdc.net",1839141
"2019-04-02T04:40:00.000+0000","eu16-app2-25-fra.ops.sfdc.net",2776995
"2019-04-02T04:40:00.000+0000","eu16-app2-26-fra.ops.sfdc.net",3478680
"2019-04-02T04:40:00.000+0000","eu16-app2-27-fra.ops.sfdc.net",3380946
"2019-04-02T04:40:00.000+0000","eu16-app2-28-fra.ops.sfdc.net",1849709
"2019-04-02T04:40:00.000+0000","eu16-app2-29-fra.ops.sfdc.net",2259634
"2019-04-02T04:40:00.000+0000","eu16-app2-3-fra.ops.sfdc.net",2442584
"2019-04-02T04:40:00.000+0000","eu16-app2-30-fra.ops.sfdc.net",3329667
"2019-04-02T04:40:00.000+0000","eu16-app2-4-fra.ops.sfdc.net",3369836
"2019-04-02T04:40:00.000+0000","eu16-app2-5-fra.ops.sfdc.net",1544571
"2019-04-02T04:40:00.000+0000","eu16-app2-6-fra.ops.sfdc.net",2910154
"2019-04-02T04:40:00.000+0000","eu16-app2-7-fra.ops.sfdc.net",2732061
"2019-04-02T04:40:00.000+0000","eu16-app2-9-fra.ops.sfdc.net",2580448
"2019-04-02T04:50:00.000+0000","eu16-app1-1-fra.ops.sfdc.net",2726522
"2019-04-02T04:50:00.000+0000","eu16-app1-10-fra.ops.sfdc.net",4741158
"2019-04-02T04:50:00.000+0000","eu16-app1-11-fra.ops.sfdc.net",3432471
"2019-04-02T04:50:00.000+0000","eu16-app1-12-fra.ops.sfdc.net",4491052
"2019-04-02T04:50:00.000+0000","eu16-app1-13-fra.ops.sfdc.net",4334998
"2019-04-02T04:50:00.000+0000","eu16-app1-14-fra.ops.sfdc.net",2881698
"2019-04-02T04:50:00.000+0000","eu16-app1-15-fra.ops.sfdc.net",3012430
"2019-04-02T04:50:00.000+0000","eu16-app1-16-fra.ops.sfdc.net",6763943
"2019-04-02T04:50:00.000+0000","eu16-app1-17-fra.ops.sfdc.net",3152807
"2019-04-02T04:50:00.000+0000","eu16-app1-18-fra.ops.sfdc.net",2885414
"2019-04-02T04:50:00.000+0000","eu16-app1-19-fra.ops.sfdc.net",3300356
"2019-04-02T04:50:00.000+0000","eu16-app1-2-fra.ops.sfdc.net",2612556
"2019-04-02T04:50:00.000+0000","eu16-app1-20-fra.ops.sfdc.net",2072847
"2019-04-02T04:50:00.000+0000","eu16-app1-21-fra.ops.sfdc.net",3604584
"2019-04-02T04:50:00.000+0000","eu16-app1-22-fra.ops.sfdc.net",211
"2019-04-02T04:50:00.000+0000","eu16-app1-23-fra.ops.sfdc.net",15742
